X,Y,ACC_T_DESC,RD_U_DESC,LGA_NAME,REGION_NAM
2512269.052,2376946.244,Collision with vehicle,Motorcyclists,FRANKSTON,METROPOLITAN SOUTH EAST REGION
2494228.031,2410789.647,Collision with vehicle,Motorcyclists,MELBOURNE,METROPOLITAN NORTH WEST REGION
2608065.483,2506705.655,Collision with a fixed object,Motorcyclists,MANSFIELD,NORTH EASTERN REGION
2517406.031,2390011.972,Collision with a fixed object,Drivers,DANDENONG,METROPOLITAN SOUTH EAST REGION
2521001.753,2605017.515,Collision with a fixed object,Drivers,MOIRA,NORTH EASTERN REGION
2614594.077,2339363.687,Vehicle overturned (no collision),Drivers,LATROBE,EASTERN REGION
2499096.192,2413828.496,Struck Pedestrian,Pedestrians,DAREBIN,METROPOLITAN NORTH WEST REGION
2511865.809,2418394.791,Collision with a fixed object,Motorcyclists,BANYULE,METROPOLITAN NORTH WEST REGION
2494356.012,2350094.454,Collision with a fixed object,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2514199.867,2397326.399,Struck Pedestrian,Pedestrians,MONASH,METROPOLITAN SOUTH EAST REGION
2623220.59,2368918.646,Collision with vehicle,Drivers,LATROBE,EASTERN REGION
2623220.59,2368918.646,Collision with vehicle,Drivers,LATROBE,EASTERN REGION
2519963.115,2559339.98,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2451277.234,2426086.176,Collision with a fixed object,Drivers,MOORABOOL,WESTERN REGION
2531938.517,2409757.839,Collision with vehicle,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2437538.343,2350575.892,Collision with a fixed object,Drivers,SURF COAST,SOUTH WESTERN REGION
2455137.966,2511339.113,Collision with a fixed object,Drivers,BENDIGO,NORTHERN REGION
2614562.318,2564962.131,Collision with a fixed object,Drivers,WANGARATTA,NORTH EASTERN REGION
2494284.141,2350035.841,Collision with a fixed object,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2516773.76,2361760.424,Collision with vehicle,Motorcyclists,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2473728.881,2415055.813,Collision with vehicle,Passengers,MELTON,METROPOLITAN NORTH WEST REGION
2473728.881,2415055.813,Collision with vehicle,Drivers,MELTON,METROPOLITAN NORTH WEST REGION
2500621.838,2408290.133,Struck Pedestrian,Pedestrians,YARRA,METROPOLITAN NORTH WEST REGION
2500760.497,2426335.081,Collision with a fixed object,Motorcyclists,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2629230.868,2363820.726,Collision with vehicle,Motorcyclists,LATROBE,EASTERN REGION
2437372.513,2507513.987,Collision with a fixed object,Bicyclists,BENDIGO,NORTHERN REGION
2521976.787,2378558.593,Collision with a fixed object,Motorcyclists,CASEY,METROPOLITAN SOUTH EAST REGION
2629888.039,2585484.374,Collision with a fixed object,Drivers,WANGARATTA,NORTH EASTERN REGION
2504172.327,2347525.388,Collision with a fixed object,Drivers,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION
2674839.16,2591104.59,Collision with vehicle,Passengers,WODONGA,NORTH EASTERN REGION
2446061.128,2370125.551,Collision with a fixed object,Motorcyclists,GEELONG,SOUTH WESTERN REGION
2533172.903,2409997.273,Collision with vehicle,Passengers,YARRA RANGES,METROPOLITAN SOUTH EAST REGION
2526970.576,2386280.16,Collision with a fixed object,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2527204.454,2400802.049,Collision with vehicle,Motorcyclists,KNOX,METROPOLITAN SOUTH EAST REGION
2507383.761,2408517.205,Collision with vehicle,Motorcyclists,BOROONDARA,METROPOLITAN SOUTH EAST REGION
2384175.463,2305703.406,Collision with a fixed object,Pedestrians,COLAC OTWAY,SOUTH WESTERN REGION
2498799.846,2423546.008,Collision with a fixed object,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2263135.918,2635702.042,Collision with a fixed object,Drivers,YARRIAMBIACK,WESTERN REGION
2381345.477,2446613.892,Collision with vehicle,Passengers,BALLARAT,WESTERN REGION
2381345.477,2446613.892,Collision with vehicle,Passengers,BALLARAT,WESTERN REGION
2381345.477,2446613.892,Collision with vehicle,Drivers,BALLARAT,WESTERN REGION
2493684.676,2412548.478,Collision with vehicle,Pedestrians,MELBOURNE,METROPOLITAN NORTH WEST REGION
2491690.137,2412980.102,Collision with vehicle,Motorcyclists,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION
2389012.428,2440999.194,Collision with a fixed object,Passengers,BALLARAT,WESTERN REGION
2529218.043,2437927.169,Collision with vehicle,Motorcyclists,NILLUMBIK,METROPOLITAN NORTH WEST REGION
2500187.088,2423364.134,Collision with vehicle,Drivers,WHITTLESEA,METROPOLITAN NORTH WEST REGION
2435003.612,2433325.374,Collision with vehicle,Drivers,MOORABOOL,WESTERN REGION
2490192.279,2467922.768,Collision with vehicle,Drivers,MITCHELL,NORTHERN REGION
2525528.294,2377101.556,Collision with vehicle,Drivers,CASEY,METROPOLITAN SOUTH EAST REGION
2526333.649,2540770.678,Collision with vehicle,Drivers,SHEPPARTON,NORTH EASTERN REGION
2499888.416,2395883.704,Collision with vehicle,Drivers,BAYSIDE,METROPOLITAN SOUTH EAST REGION
2399496.071,2439269.89,Collision with vehicle,Drivers,BALLARAT,WESTERN REGION
2512471.089,2421255.201,Struck Pedestrian,Pedestrians,NILLUMBIK,METROPOLITAN NORTH WEST REGION
